set,clip,setup,memory,input,offset,horizon_s,fde_px,fde_iqr_px,lock_on_s,path_median_px,path_last_px,period_ratio,auc,latency_s,fp_per_min,n_steps,unseen_fraction
development,small_01,pendulum,snn_two_layer,snn,removed,0.2,35.58724560861705,25.639574619925067,inf,69.12649030873621,71.44160134671145,2.004097364306504,nan,nan,0.0,5006,0.0
development,small_01,pendulum,snn_lmu,snn,as_is,0.025,24.412599120526018,13.58020867532069,inf,57.928138314465414,50.95533212063083,1.4068720367714072,nan,nan,0.0,5006,0.0
development,small_01,pendulum,snn_lmu,snn,removed,0.025,20.272612324826287,15.928451998698728,inf,53.90091691505613,49.81639552225113,1.4068720367714072,nan,nan,0.0,5006,0.0
development,small_01,pendulum,snn_lmu,snn,as_is,0.05,34.31482522970064,22.6079652334529,inf,57.928138314465414,50.95533212063083,1.4068720367714072,nan,nan,0.0,5006,0.0
development,small_01,pendulum,snn_lmu,snn,removed,0.05,31.341253329916754,25.46542867565571,inf,53.90091691505613,49.81639552225113,1.4068720367714072,nan,nan,0.0,5006,0.0
development,small_01,pendulum,snn_lmu,snn,as_is,0.1,37.931305090490355,23.619451064797083,inf,57.928138314465414,50.95533212063083,1.4068720367714072,nan,nan,0.0,5006,0.0
development,small_01,pendulum,snn_lmu,snn,removed,0.1,34.20475928499475,27.07324147184569,inf,53.90091691505613,49.81639552225113,1.4068720367714072,nan,nan,0.0,5006,0.0
development,small_01,pendulum,snn_lmu,snn,as_is,0.2,65.39052522599707,42.65704375315031,inf,57.928138314465414,50.95533212063083,1.4068720367714072,nan,nan,0.0,5006,0.0
development,small_01,pendulum,snn_lmu,snn,removed,0.2,62.38893781222157,44.8682517891163,inf,53.90091691505613,49.81639552225113,1.4068720367714072,nan,nan,0.0,5006,0.0
development,wide_02/steady,pendulum,snn_phasemap,centroid,as_is,0.025,46.02418418284514,12.014775085017348,inf,44.37770708928588,43.63107894913762,0.9779914277210067,nan,nan,0.0,3810,0.0
development,wide_02/steady,pendulum,snn_phasemap,centroid,removed,0.025,15.16089486136439,15.325331893221536,inf,17.89086285932033,17.985031251780597,0.9779914277210067,nan,nan,0.0,3810,0.0
development,wide_02/steady,pendulum,snn_phasemap,centroid,as_is,0.05,47.26003816824214,13.596792352012557,inf,44.37770708928588,43.63107894913762,0.9779914277210067,nan,nan,0.0,3810,0.0
development,wide_02/steady,pendulum,snn_phasemap,centroid,removed,0.05,17.146346422763312,18.04646620474839,inf,17.89086285932033,17.985031251780597,0.9779914277210067,nan,nan,0.0,3810,0.0
development,wide_02/steady,pendulum,snn_phasemap,centroid,as_is,0.1,49.241600890551595,18.23125946573151,inf,44.37770708928588,43.63107894913762,0.9779914277210067,nan,nan,0.0,3810,0.0
development,wide_02/steady,pendulum,snn_phasemap,centroid,removed,0.1,20.978325528676006,22.50907767867588,inf,17.89086285932033,17.985031251780597,0.9779914277210067,nan,nan,0.0,3810,0.0
development,wide_02/steady,pendulum,snn_phasemap,centroid,as_is,0.2,51.73862615021994,27.261007809733698,inf,44.37770708928588,43.63107894913762,0.9779914277210067,nan,nan,0.0,3810,0.0
development,wide_02/steady,pendulum,snn_phasemap,centroid,removed,0.2,25.10743015779733,28.923064212030503,inf,17.89086285932033,17.985031251780597,0.9779914277210067,nan,nan,0.0,3810,0.0
development,wide_02/steady,pendulum,phasemap,centroid,as_is,0.025,44.69111967386612,9.088253449474735,inf,43.55927314070507,42.108500886348324,1.000067368737747,nan,nan,0.0,3810,0.0
development,wide_02/steady,pendulum,phasemap,centroid,removed,0.025,12.961757177174949,9.082161020140195,inf,14.380109259291473,13.606774603648848,1.000067368737747,nan,nan,0.0,3810,0.0
development,wide_02/steady,pendulum,phasemap,centroid,as_is,0.05,45.80569008634855,8.915991211403679,inf,43.55927314070507,42.108500886348324,1.000067368737747,nan,nan,0.0,3810,0.0
development,wide_02/steady,pendulum,phasemap,centroid,removed,0.05,15.010242376846062,10.738486355109629,inf,14.380109259291473,13.606774603648848,1.000067368737747,nan,nan,0.0,3810,0.0
development,wide_02/steady,pendulum,phasemap,centroid,as_is,0.1,47.24218981517237,9.779491872545051,inf,43.55927314070507,42.108500886348324,1.000067368737747,nan,nan,0.0,3810,0.0
development,wide_02/steady,pendulum,phasemap,centroid,removed,0.1,18.10336461581088,13.326478719365404,inf,14.380109259291473,13.606774603648848,1.000067368737747,nan,nan,0.0,3810,0.0
development,wide_02/steady,pendulum,phasemap,centroid,as_is,0.2,48.599098024179426,12.745621594834738,inf,43.55927314070507,42.108500886348324,1.000067368737747,nan,nan,0.0,3810,0.0
development,wide_02/steady,pendulum,phasemap,centroid,removed,0.2,21.609199281297776,18.942781167368253,inf,14.380109259291473,13.606774603648848,1.000067368737747,nan,nan,0.0,3810,0.0
development,wide_02/steady,pendulum,kalman,centroid,as_is,0.025,43.91036786110445,12.145158381229635,inf,42.70812323159751,41.85588875722979,1.0093899521530931,nan,nan,31.49606299212666,3810,0.0
development,wide_02/steady,pendulum,kalman,centroid,removed,0.025,12.440759584941214,9.276107514963009,inf,12.882813726522897,13.46847504649811,1.0093899521530931,nan,nan,31.49606299212666,3810,0.0
development,wide_02/steady,pendulum,kalman,centroid,as_is,0.05,44.13506074045914,13.381440762985164,inf,42.70812323159751,41.85588875722979,1.0093899521530931,nan,nan,31.49606299212666,3810,0.0
development,wide_02/steady,pendulum,kalman,centroid,removed,0.05,13.85937690694747,9.162602330738208,inf,12.882813726522897,13.46847504649811,1.0093899521530931,nan,nan,31.49606299212666,3810,0.0
development,wide_02/steady,pendulum,kalman,centroid,as_is,0.1,45.09431929081882,14.161775765794133,inf,42.70812323159751,41.85588875722979,1.0093899521530931,nan,nan,31.49606299212666,3810,0.0
development,wide_02/steady,pendulum,kalman,centroid,removed,0.1,15.828484022195571,9.514418772104657,inf,12.882813726522897,13.46847504649811,1.0093899521530931,nan,nan,31.49606299212666,3810,0.0
development,wide_02/steady,pendulum,kalman,centroid,as_is,0.2,47.500973472175495,10.946487782239267,inf,42.70812323159751,41.85588875722979,1.0093899521530931,nan,nan,31.49606299212666,3810,0.0
development,wide_02/steady,pendulum,kalman,centroid,removed,0.2,18.34655174601742,11.055704251500277,inf,12.882813726522897,13.46847504649811,1.0093899521530931,nan,nan,31.49606299212666,3810,0.0
development,wide_02/steady,pendulum,harmonic,centroid,as_is,0.025,47.969390032655824,10.015401383165255,inf,42.92263600207926,41.74323349866706,1.0093899521530931,nan,nan,0.0,3810,0.0
development,wide_02/steady,pendulum,harmonic,centroid,removed,0.025,20.135098492502973,12.830508246599496,inf,12.613084004343492,13.666914688519654,1.0093899521530931,nan,nan,0.0,3810,0.0
development,wide_02/steady,pendulum,harmonic,centroid,as_is,0.05,48.60204095162237,10.486355206331368,inf,42.92263600207926,41.74323349866706,1.0093899521530931,nan,nan,0.0,3810,0.0
development,wide_02/steady,pendulum,harmonic,centroid,removed,0.05,20.82327465777726,13.25838828123931,inf,12.613084004343492,13.666914688519654,1.0093899521530931,nan,nan,0.0,3810,0.0
development,wide_02/steady,pendulum,harmonic,centroid,as_is,0.1,49.33299340030691,10.871861052795161,inf,42.92263600207926,41.74323349866706,1.0093899521530931,nan,nan,0.0,3810,0.0
development,wide_02/steady,pendulum,harmonic,centroid,removed,0.1,22.124518733953902,14.248424407142453,inf,12.613084004343492,13.666914688519654,1.0093899521530931,nan,nan,0.0,3810,0.0
development,wide_02/steady,pendulum,harmonic,centroid,as_is,0.2,49.91085567707624,11.094438743889135,inf,42.92263600207926,41.74323349866706,1.0093899521530931,nan,nan,0.0,3810,0.0
development,wide_02/steady,pendulum,harmonic,centroid,removed,0.2,23.026633563737064,14.88249203116996,inf,12.613084004343492,13.666914688519654,1.0093899521530931,nan,nan,0.0,3810,0.0
development,wide_02/steady,pendulum,constant_velocity,centroid,as_is,0.025,42.39865202513266,14.148661010701176,inf,nan,nan,nan,nan,nan,0.0,3810,0.0
development,wide_02/steady,pendulum,constant_velocity,centroid,removed,0.025,10.280845469294142,8.375392486388872,inf,nan,nan,nan,nan,nan,0.0,3810,0.0
